NOME_PRODUTO,QUANTIDADE,COD_CLIENTE,COD_PRODUTO
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRETO    ,2.0,111,25
TABLET NB296 M7S LITE 8GB PRETO              ,2.0,112,63
CAIXA BLUETOOTH BS16B 16W SEMP TCL           ,2.0,113,19
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,114,6
CELULAR RIU-I R200 DB PRETO-VERMELHO         ,2.0,115,64
SUPORTE UNIV. BEDIN BU-25                    ,2.0,116,2
SUPORTE UNIV. BEDIN BU-25                    ,2.0,117,2
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,118,6
SMARTPHONE SAMSUNG GAL A30  A305 64GB BRANCO ,2.0,119,65
SUPORTE UNIV. BEDIN BU-25                    ,2.0,6,2
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,120,6
RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       ,2.0,121,53
SMARTPHONE LG K12 MAX PRETO                  ,2.0,122,66
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,123,6
SUPORTE UNIV. BEDIN BU-25                    ,2.0,124,2
SMARTPHONE LG K9 TV LM-X210BMW PRETO         ,2.0,125,30
TELEJOGO MOD XP 199                          ,2.0,39,67
SMARTPHONE LG K9 TV LM-X210BMW INDIGO        ,2.0,39,7
SMARTPHONE LG K9 TV LM-X210BMW DOURADO       ,2.0,39,68
BOOMBOX BX-19 BIVOLT UP DYNAMIC              ,2.0,126,61
SUPORTE UNIV. BEDIN BU-25                    ,2.0,127,2
"TELEVISOR SMART 32"" PTV32 G50SN LED PHILCO   ",2.0,128,69
SUPORTE UNIV. BEDIN BU-25                    ,2.0,128,2
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,129,6
PEN DRIVE SONY R 16GB USMRGR                 ,2.0,130,9
CAIXA AMPLIFICADA MCO-07 MULTI CONNECT       ,2.0,131,70
SMARTPHONE SAMSUNG GALAXY J4 PLUS 32GB PRETO ,2.0,132,71
TABLET NB296 M7S LITE 8GB PRETO              ,2.0,133,63
PEN DRIVE MC162 2X1 LEITOR USB SD 16GB       ,2.0,134,38
"TELEVISOR SMART 40"" TC40FS600B PANASONIC     ",2.0,135,72
SMARTPHONE SAMSUNG GAL J6 PLUS 32GB PRETO    ,2.0,136,73
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,137,6
SMARTPHONE SAMSUNG GAL A20S 32GB VERMELHO    ,2.0,138,74
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,139,6
PEN DRIVE 32GB PD589 TWIST PRETO             ,2.0,140,75
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,141,6
SMARTPHONE SAMSUNG GAL A70  A705 128GB AZUL  ,2.0,142,76
SUPORTE UNIV. BEDIN BU-25                    ,2.0,143,2
SUPORTE UNIV. BEDIN BU-25                    ,2.0,144,2
PEN DRIVE 16GB PD588 TWIST PRETO             ,2.0,145,77
SMARTPHONE SAMSUNG GAL J6 64GB DB VIOLETA    ,2.0,146,78
SMARTPHONE SAMSUNG GAL A20  A205 32GB PRETO  ,2.0,147,58
SMARTPHONE LG K9 TV LM-X210BMW DOURADO       ,2.0,148,68
SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    ,2.0,149,1
RADIO RECEPTOR 5 FXS RM PF34                 ,2.0,150,29
SMARTPHONE SAMSUNG GAL A10  A105 32GB PRETO  ,2.0,151,40
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,152,6
"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       ",2.0,153,79
SUPORTE UNIV. BEDIN BU-25                    ,2.0,153,2
SMARTPHONE SAMSUNG GAL A10  A105 32GB PRETO  ,2.0,154,40
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,155,6
DVD D-15 KARAOKE MONDIAL                     ,2.0,155,13
"TELEVISOR SMART 50"" UHD BT UN50RU7100 SAMSUNG",2.0,156,42
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,157,6
PEN DRIVE 8GB PD587 TWIST PRETO              ,2.0,158,33
SMARTPHONE SAMSUNG GAL A10  A105 32GB AZUL   ,2.0,159,48
SMARTPHONE SAMSUNG GAL A20  A205 32GB VERM   ,2.0,159,80
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    ,2.0,160,21
SMARTPHONE SAMSUNG GAL A10  A105 32GB AZUL   ,2.0,161,48
PEN DRIVE MC161 2X1 LEITOR USB SD 8G         ,2.0,162,56
TABLET NB306 M7 3G PLUS QUAD CORE DOURADA    ,2.0,163,81
SMARTPHONE SAMSUNG GAL J2 PRIME S/ TV 16GB DR,2.0,164,82
RECEPTOR MIDIA BOX HDTV B3                   ,2.0,165,4
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,166,6
SUPORTE UNIV. BEDIN BU-25                    ,2.0,167,2
SMARTPHONE SAMSUNG GAL A10  A105 32GB PRETO  ,2.0,168,40
SUPORTE UNIV. BEDIN BU-25                    ,2.0,169,2
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    ,2.0,170,21
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,171,6
TABLET NB720 MINI MS45 4G PRETO              ,2.0,172,52
SMARTPHONE LG K9 TV LM-X210BMW PRETO         ,2.0,173,30
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,174,6
PEN DRIVE SONY R 8GB USMRGR                  ,2.0,175,8
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,176,6
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,177,6
SMARTPHONE SAMSUNG GAL J2 PRIME S/ TV 16GB DR,2.0,178,82
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,179,6
PEN DRIVE 8GB PD587 TWIST PRETO              ,2.0,180,33
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,181,6
SUPORTE UNIV. BEDIN BU-25                    ,2.0,182,2
PEN DRIVE MC162 2X1 LEITOR USB SD 16GB       ,2.0,183,38
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    ,2.0,184,21
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    ,2.0,185,21
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,186,6
"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       ",2.0,187,79
SUPORTE UNIV. BEDIN BU-25                    ,2.0,188,2
TABLET NB732 MINI MS50X PRETO                ,2.0,189,22
"TELEVISOR SMART 32"" TC32FS500B PANASONIC     ",2.0,47,12
CELULAR INFINITY W201 PRETO                  ,2.0,47,57
TABLET NB730 MINI MS50G PRATA/PRETO          ,2.0,190,10
CELULAR RIU FLIP 2.4 DB VERMELHO             ,2.0,191,83
SMARTPHONE LG K12 MAX AZUL                   ,2.0,192,84
TABLET NB732 MINI MS50X PRETO                ,2.0,193,22
SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    ,2.0,194,1
SMARTPHONE LG K11 PLUS DB PRETO              ,2.0,195,47
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,196,6
RECEPTOR MIDIA BOX HDTV B3                   ,2.0,49,4
SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    ,2.0,30,1
PEN DRIVE 8GB PD587 TWIST PRETO              ,2.0,197,33
SMARTPHONE SAMSUNG GAL A30 A305 64GB AZUL    ,2.0,198,85
BOOMBOX BX-19 BIVOLT UP DYNAMIC              ,2.0,199,61
TABLET NB720 MINI MS45 4G PRETO              ,2.0,200,52
SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    ,2.0,201,1
ANTENA + RECEPTOR SKY PRE PAGO 60CM PT/CZ    ,2.0,202,86
PEN DRIVE 16GB PD588 TWIST PRETO             ,2.0,203,77
SMARTPHONE SAMSUNG GALAXY J4 PLUS 32GB PRETO ,2.0,203,71
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,204,6
PEN DRIVE SONY R 16GB USMRGR                 ,2.0,205,9
SMARTPHONE BLU STUDIO J1 PRETO               ,2.0,206,87
SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN,2.0,207,88
"TELEVISOR SMART 32"" 32S5300 HD BLUET SEMP TCL",2.0,208,89
"TELEVISOR SMART 43"" 43S5300 HD BLUET SEMP TCL",2.0,208,90
TABLET NB296 M7S LITE 8GB PRETO              ,2.0,209,63
TABLET NB732 MINI MS50X PRETO                ,2.0,210,22
SMARTPHONE SAMSUNG GAL A20  A205 32GB AZUL   ,2.0,211,91
PEN DRIVE NANO 16GB PD054 PRETO              ,2.0,212,92
SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN,2.0,213,88
TABLET NB728 MINI MS40G PRETO                ,2.0,214,93
TABLET NB720 MINI MS45 4G PRETO              ,2.0,214,52
"TELEVISOR 43"" 43S6500FS FULL HD SEMP TCL     ",2.0,215,94
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,216,6
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRETO    ,2.0,51,25
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    ,2.0,51,21
"TELEVISOR SMART 32"" 32S5300 HD BLUET SEMP TCL",2.0,51,89
SMARTPHONE LG K9 TV LM-X210BMW PRETO         ,2.0,217,30
TABLET NB728 MINI MS40G PRETO                ,2.0,217,93
SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    ,2.0,218,1
SMARTPHONE SAMSUNG GAL A20S 32GB PRETO       ,2.0,52,95
SMARTPHONE SAMSUNG GAL A20S 32GB AZUL        ,2.0,52,96
PEN DRIVE 16GB PD588 TWIST PRETO             ,2.0,219,77
SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    ,2.0,220,1
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,221,6
"TELEVISOR SMART 43"" UN43J5290 SAMSUNG        ",2.0,221,45
TABLET NB732 MINI MS50X PRETO                ,2.0,222,22
TABLET NB736 MINI MS50G PRETO                ,2.0,18,97
"TELEVISOR SMART 50"" 50P8M 4K UHD BLT SEMP TCL",2.0,223,37
TELEVISOR SMART 32 PTV32N87SA LED PHILCO     ,2.0,224,98
SMARTPHONE LG K9 TV LM-X210BMW INDIGO        ,2.0,225,7
CAIXA AMPLIFICADA CM-09 CONNECT DJ CONTROLLER,2.0,226,16
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,227,6
RADIO CJ88 ABRALLK LG                        ,2.0,228,99
SUPORTE UNIV. BEDIN BU-25                    ,2.0,229,2
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    ,2.0,230,21
RADIO RECEPTOR 2 FXS RM PF25 PT              ,2.0,231,34
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,232,6
SUPORTE UNIV. BEDIN BU-25                    ,2.0,233,2
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,234,6
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,235,6
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    ,2.0,236,21
SUPORTE UNIV. BEDIN BU-25                    ,2.0,56,2
SUPORTE PRETO TV LCD 10 A 55 ART.SBRP120     ,2.0,237,100
SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    ,2.0,238,1
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,239,6
